Line,Product,Net Quantity Produced,Run Time
Line 32,1006537 B,67930.0,6.985833333333333
Line 32,1006537 C,593442.0,59.89
Line 32,1006583,31256.0,2.9099999999999997
Line 32,1013273,835130.0,58.5575
Line 32,1016003,2041789.0,124.49333333333334
Line 32,1019090,141858.0,17.0375
Line 32,1019113,77854.0,7.722777777777778
Line 32,1019888 A,77552.0,6.041388888888889
Line 32,1020057,3747164.0,311.72333333333336
Line 32,1020188 A,3424712.0,303.80027777777775
Line 32,1020189 B,1956824.0,177.61166666666668
Line 32,1020360,1547203.0,90.14944444444444
Line 32,1027665 B,80400.0,7.2219444444444445
Line 32,1029142,590995.0,39.55416666666667
Line 32,1029528,8595052.0,779.0772222222222
Line 32,1030599,141856.0,12.779444444444444
Line 32,1030940,6821842.0,562.0850000000002
Line 32,1030943,16694712.0,1403.1677777777777
Line 32,1030944,2150266.0,179.31
Line 32,1031138,168728.0,15.26
Line 32,1031406,50360.0,4.379166666666667
Line 32,1031418,240116.0,19.325277777777778
Line 32,1031441,436682.0,32.660833333333336
Line 32,1031467,400984.0,33.285277777777786
Line 32,1032055,730390.0,83.72111111111111
Line 32,1032476,2698320.0,226.59027777777777
Line 32,1032477,93368.0,8.449722222222224
Line 32,1032479,245768.0,22.148333333333333
Line 33,1015383,205226.0,18.293611111111108
Line 33,1015869 A,1617104.0,172.39083333333335
Line 33,1015873 A,246768.0,27.858888888888888
Line 33,1016055,2880488.0,406.90416666666664
Line 33,1016263 B,251806.0,28.269722222222224
Line 33,1019090,4100720.0,496.6561111111111
Line 33,1019440 A,156328.0,12.42361111111111
Line 33,1019441 A,294888.0,32.523611111111116
Line 33,1019449,475522.0,52.00666666666667
Line 33,1019624,1686086.0,245.31472222222223
Line 33,1019737,648640.0,70.34694444444446
Line 33,1019876,694210.0,72.05583333333334
Line 33,1019888 A,1706736.0,152.08722222222224
Line 33,1019995,415980.0,60.70138888888889
Line 33,1020035,349240.0,30.49222222222222
Line 33,1020057,383388.0,32.95250000000001
Line 33,1020188 A,17557048.0,1572.4097222222222
Line 33,1020189 B,4186142.0,381.99611111111113
Line 33,1020271,579312.0,65.15944444444445
Line 33,1020289,142056.0,8.690833333333334
Line 33,1020290,337488.0,27.907222222222224
Line 33,1020293 A,1088040.0,89.295
Line 33,1020360,746890.0,53.44166666666667
Line 33,1027665 B,189580.0,17.482222222222223
Line 33,1027913 A,1183888.0,104.24305555555556
